Subject,CourseCode,Class Nbr,Course Title,Days,Start Time,End Time,Location,Enrl Cap,Classroom,Inst Last Nm
IEE,526,91346,Operations Rrsch in Healthcare,T Th ,4:30 PM,5:45 PM,TEMPE,128,CAVC351,Runger
IEE,545,91992,Simulating Stochastic Systems,M W ,4:35 PM,5:50 PM,TEMPE,80,LSE106,Wu
IEE,547,71313,Human Factors Engineering,M W ,3:05 PM,4:20 PM,TEMPE,150,BYAC270,Staff
IEE,571,92066,Quality Management,M W ,6:00 PM,7:15 PM,TEMPE,132,BYAC270,Parry
IEE,572,75775,Design Engineering Experiments,T Th ,12:00 PM,1:15 PM,TEMPE,60,BYAC210,Jennings
IEE,573,91770,Reliability Engineering,T Th ,9:00 AM,10:15 AM,TEMPE,70,SS105,Montgomery
EEE,598,90647,Structural VLSI Circuit Design Based on Symmetry,M W,9:00 AM,10:15 AM,TEMPE,30,Online,Song
EEE,598,92777,Introduction to Electric and Autonomous Vehicles,T Th ,9:00 AM,10:15 AM,TEMPE,30,Online,Yu
EEE,591,73416,Digital Systems Circ,T Th ,10:30 AM,11:45 AM,TEMPE,35,COORL1-88 ,Ozev
EEE,591,79416,Power Electronics & Power Mgmt,T Th ,12:00 PM,1:15 PM,TEMPE,35,COORL1-88 ,Ayyanar
EEE,591,70787,Fund Solid State Devices,M W ,3:05 PM,4:20 PM,TEMPE,35,COORL1-88 ,Skromme
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 ,,,,,,,,,,
